name,budget,release_date
De-engineered background alliance,153759.06,2023-01-11
Pre-emptive intangible encryption,332723.01,2022-09-23
Focused logistical task-force,458102.26,2022-05-31
Decentralized upward-trending structure,547596.37,2022-12-10
Focused heuristic ability,382150.09,2022-06-02
Stand-alone didactic extranet,964906.68,2022-12-29
Advanced 4th generation system engine,579577.34,2023-01-22
Secured client-driven moratorium,578773.75,2022-06-11
Cross-group 3rd generation open system,116800.99,2022-03-25
Adaptive responsive productivity,726438.57,2023-01-21
Reactive neutral intranet,866385.08,2022-10-11
Programmable bottom-line strategy,871811.87,2022-02-04
Profound exuding interface,624196.97,2022-07-01
Managed tangible architecture,690374.55,2022-10-16
Inverse mission-critical workforce,98682.53,2022-02-22
Function-based web-enabled local area network,361722.11,2022-01-21
Ameliorated 3rd generation archive,604141.04,2022-12-23
Persistent exuding forecast,928862.37,2022-11-05
Devolved systematic hardware,818555.0,2022-03-05
Reactive full-range frame,241136.42,2022-07-19
Implemented full-range matrices,493367.03,2022-04-25
Ergonomic intermediate task-force,307189.02,2022-05-25
Total asymmetric matrices,23361.77,2022-03-29
Team-oriented 24 hour attitude,293515.2,2022-05-20
Customizable empowering capability,417549.43,2022-02-10
Universal client-server software,200998.17,2021-12-08
Public-key incremental open architecture,107412.33,2022-07-25
Future-proofed 3rd generation internet solution,476815.47,2022-05-04
Horizontal dynamic ability,76263.54,2022-05-06
Multi-lateral maximized forecast,10365.67,2022-01-24
Robust actuating groupware,507334.52,2022-06-08
Horizontal object-oriented capability,110829.25,2022-07-15
Compatible explicit frame,645829.46,2022-01-05
Customizable solution-oriented structure,413335.88,2022-09-22
Profit-focused intangible software,829215.74,2022-05-14
Implemented 4th generation parallelism,740775.15,2022-02-11
Proactive solution-oriented customer loyalty,651927.89,2021-12-21
Devolved methodical capacity,687898.36,2022-01-31
Profit-focused fresh-thinking local area network,59617.61,2022-07-17
Integrated hybrid middleware,335042.83,2021-12-21
Centralized demand-driven parallelism,566570.78,2022-05-23
Re-engineered bandwidth-monitored flexibility,726803.47,2022-06-25
Exclusive 5th generation help-desk,102229.87,2022-04-16
Operative system-worthy flexibility,745822.42,2021-12-24
Triple-buffered methodical contingency,198523.05,2022-04-19
Up-sized foreground utilisation,122631.56,2022-10-07
Stand-alone scalable customer loyalty,413138.97,2022-01-30
Networked non-volatile methodology,81848.65,2022-08-30
Stand-alone scalable database,179749.7,2022-05-27
Upgradable mobile solution,292189.75,2022-01-07
Switchable 24/7 hub,452763.75,2022-04-29
Exclusive content-based utilisation,467392.7,2023-01-29
Progressive system-worthy Graphic Interface,978528.47,2022-11-14
Organic analyzing moderator,181402.62,2022-12-10
Secured logistical workforce,504664.69,2022-08-06
Down-sized systematic adapter,139946.48,2021-12-08
Multi-lateral neutral task-force,310227.91,2022-10-08
Intuitive attitude-oriented open system,944058.5,2022-05-15
Total attitude-oriented time-frame,736441.25,2022-01-24
Open-architected composite attitude,381380.53,2022-03-26
Horizontal interactive paradigm,702647.39,2022-03-31
Multi-layered global architecture,302737.61,2022-12-16
Public-key zero defect definition,374133.07,2023-01-27
Reduced encompassing implementation,25292.47,2022-11-02
Integrated actuating implementation,354999.46,2022-01-12
User-centric multimedia artificial intelligence,583538.23,2022-05-24
Assimilated logistical help-desk,900681.35,2022-10-14
Programmable clear-thinking benchmark,856925.0,2023-01-02
Reduced 6th generation challenge,22504.33,2022-02-11
Optimized bottom-line benchmark,402023.93,2022-04-07
Front-line solution-oriented knowledge user,302043.79,2022-07-19
Compatible empowering hierarchy,472341.09,2022-05-09
Upgradable foreground collaboration,57695.57,2022-12-14
Phased bifurcated migration,721691.02,2022-04-23
Extended web-enabled conglomeration,615133.51,2022-10-23
Focused intangible adapter,354797.37,2022-01-12
Versatile secondary initiative,555580.63,2022-03-26
Object-based optimal analyzer,187627.47,2022-09-06
Sharable solution-oriented intranet,50136.91,2022-02-26
Right-sized bottom-line strategy,713920.66,2022-01-19
Business-focused intangible focus group,826686.36,2022-03-18
Expanded next generation model,136700.04,2022-01-19
Monitored zero defect firmware,103943.14,2022-07-13
Future-proofed homogeneous frame,516837.78,2022-10-14
Switchable secondary definition,224655.88,2023-01-02
Quality-focused scalable encoding,107092.0,2023-01-12
Organic optimizing alliance,29579.27,2022-12-29
Ameliorated next generation capacity,123565.34,2022-09-17
Object-based zero administration emulation,30876.9,2023-01-18
Persevering asynchronous artificial intelligence,997821.47,2022-06-03
Managed intermediate intranet,464594.75,2022-10-02
Fundamental transitional software,748252.07,2022-03-27
Fundamental fresh-thinking parallelism,494600.05,2022-12-29
Managed bifurcated extranet,309151.95,2022-03-20
Public-key didactic core,153850.74,2022-05-22
Total web-enabled product,4941.16,2022-09-25
Progressive disintermediate concept,249189.29,2022-07-02
Digitized user-facing migration,572998.5,2022-01-03
Realigned bottom-line installation,50790.63,2022-06-16
Operative client-driven policy,82709.41,2022-12-13
Cloned 3rd generation customer loyalty,557013.35,2022-11-26
Reactive scalable paradigm,857442.02,2022-08-01
Universal uniform pricing structure,739592.21,2022-11-22
Business-focused logistical hub,916308.78,2022-07-16
Advanced upward-trending secured line,834796.84,2022-02-28
Reduced maximized architecture,807708.25,2022-02-23
Mandatory methodical attitude,474724.0,2022-01-28
Inverse asynchronous conglomeration,646253.06,2023-01-09
Open-source multi-tasking interface,57230.67,2022-04-12
Virtual regional data-warehouse,764001.62,2022-09-11
Operative analyzing complexity,611915.41,2021-12-16
Face to face global website,161147.11,2022-05-03
Profit-focused global throughput,714488.54,2022-11-20
Reduced 6th generation adapter,563107.8,2023-01-09
Organic mission-critical methodology,480035.09,2022-09-21
Digitized responsive throughput,827635.84,2022-03-15
Visionary 24/7 initiative,578187.26,2022-12-04
Ameliorated fresh-thinking hardware,224727.86,2022-07-08
Phased needs-based pricing structure,783305.61,2022-07-25
Face to face national process improvement,952977.03,2022-11-25
Centralized homogeneous project,521176.47,2022-10-29
Quality-focused 24 hour productivity,433164.84,2022-06-10
Extended hybrid middleware,684246.86,2022-06-23
Function-based analyzing solution,89547.54,2022-09-14
Up-sized exuding workforce,512599.38,2022-08-20
Persevering high-level customer loyalty,213872.19,2022-11-02
Networked next generation encryption,917660.5,2022-05-07
Integrated fresh-thinking project,509206.41,2021-12-08
Expanded leading edge implementation,134620.81,2023-01-25
Proactive user-facing success,932880.55,2022-09-03
Universal incremental service-desk,18754.71,2022-06-01
Grass-roots content-based framework,738057.97,2022-06-28
Organic actuating initiative,218792.62,2022-07-21
Realigned 24/7 customer loyalty,432391.99,2022-06-08
User-friendly coherent benchmark,445017.67,2022-12-12
Total responsive function,692660.28,2022-06-24
Customer-focused demand-driven budgetary management,891282.56,2022-12-12
Extended actuating projection,627319.5,2022-01-03
Assimilated systematic initiative,997070.0,2022-07-21
Customer-focused multi-state product,579835.58,2022-06-08
Open-architected reciprocal infrastructure,885269.59,2022-09-19
Face to face contextually-based hub,813196.96,2022-09-27
Function-based optimizing alliance,506643.94,2022-02-16
Seamless modular database,300900.25,2022-09-04
Inverse non-volatile internet solution,383202.82,2022-08-05
Upgradable cohesive budgetary management,370593.34,2022-08-10
Distributed optimal application,877282.18,2022-09-16
De-engineered background archive,377871.28,2022-01-27
Triple-buffered tertiary toolset,421811.62,2022-08-07
Organic systemic open system,238910.68,2022-09-08
Advanced foreground challenge,51534.23,2022-06-20
Public-key explicit budgetary management,977626.55,2022-12-13
Ameliorated modular protocol,179604.77,2022-07-07
Fundamental homogeneous algorithm,894928.18,2021-12-23
Organic object-oriented hardware,631188.25,2022-06-13
Mandatory 3rd generation workforce,711819.35,2022-02-02
Diverse fault-tolerant synergy,239439.85,2023-01-25
Re-engineered maximized archive,843391.66,2022-08-27
Enterprise-wide encompassing database,963083.33,2022-02-17
Switchable client-driven paradigm,236098.68,2021-12-04
Synergistic bi-directional matrix,334674.27,2022-07-16
Extended didactic algorithm,603113.5,2022-09-12
Fully-configurable coherent paradigm,126992.65,2022-12-19
Right-sized didactic workforce,876698.0,2022-02-06
Visionary regional database,310074.14,2022-10-08
Synchronised maximized alliance,966784.53,2022-02-07
Distributed scalable capacity,892975.25,2022-09-06
Exclusive didactic functionalities,182850.72,2022-06-11
Implemented methodical challenge,640398.99,2022-09-19
Cross-platform clear-thinking time-frame,894341.76,2022-10-12
Compatible systematic open architecture,794357.59,2022-08-13
Robust bandwidth-monitored success,710589.19,2022-03-11
Focused 24/7 process improvement,677078.2,2022-08-25
Customer-focused bottom-line application,610695.61,2023-01-14
Networked zero tolerance adapter,422333.64,2022-09-22
Reduced context-sensitive policy,691373.08,2022-02-19
Assimilated coherent leverage,50691.67,2022-07-27
Front-line client-server time-frame,121230.45,2022-08-24
Assimilated background toolset,131965.26,2022-04-03
Monitored stable workforce,36994.26,2022-02-25
Customer-focused content-based matrix,55932.68,2022-10-27
Adaptive user-facing Graphic Interface,348825.25,2022-03-24
Extended grid-enabled knowledge base,446752.28,2022-06-10
Horizontal discrete info-mediaries,496327.26,2021-12-06
Streamlined 5th generation core,18719.56,2023-01-21
Business-focused mobile forecast,417075.46,2022-03-02
Multi-lateral interactive capacity,295343.2,2022-08-05
Balanced local extranet,664087.02,2022-11-07
Down-sized next generation challenge,423697.04,2022-10-07
Progressive holistic neural-net,127236.14,2022-01-08
Grass-roots leading edge conglomeration,494225.17,2021-12-14
Inverse solution-oriented Graphic Interface,79307.63,2021-12-16
Front-line reciprocal help-desk,489481.62,2022-12-24
Operative executive product,578382.39,2021-12-28
Cross-platform high-level capability,307264.16,2022-11-25
Devolved 6th generation system engine,806744.2,2021-12-02
Fully-configurable methodical budgetary management,837822.56,2021-12-05
Phased transitional groupware,578173.0,2022-01-01
Future-proofed client-driven open system,805762.47,2022-02-09
Distributed exuding open architecture,676348.43,2022-07-13
Face to face optimizing migration,903416.9,2023-01-13
Configurable system-worthy architecture,74606.04,2021-12-28
Focused explicit encryption,936509.02,2022-01-20
Monitored coherent artificial intelligence,158743.95,2022-09-06
Assimilated non-volatile secured line,615749.42,2022-03-24
Cross-platform needs-based parallelism,376857.23,2022-08-16
Upgradable user-facing encryption,368942.15,2022-08-23
Switchable tertiary instruction set,928447.8,2023-01-23
Up-sized intermediate array,863187.78,2022-09-09
Persistent local instruction set,591940.0,2023-01-31
Customer-focused reciprocal attitude,771331.27,2022-11-11
Inverse 5th generation conglomeration,444255.2,2022-08-30
Proactive clear-thinking intranet,702513.37,2021-12-08
Mandatory cohesive help-desk,463870.3,2022-12-11
Quality-focused modular core,419633.12,2022-03-19
Focused regional definition,652779.62,2022-05-27
Right-sized optimal time-frame,702615.23,2022-01-18
Ergonomic composite moderator,836550.2,2022-12-25
Business-focused cohesive productivity,617263.21,2022-01-20
Multi-lateral optimizing interface,471407.11,2022-07-01
Team-oriented hybrid website,521970.1,2022-09-20
Configurable discrete migration,589321.69,2022-08-22
Object-based heuristic info-mediaries,877378.11,2022-05-14
Balanced radical benchmark,364370.04,2022-02-17
Diverse methodical alliance,10969.76,2022-09-10
Intuitive coherent alliance,450505.78,2022-09-09
User-centric actuating portal,755800.8,2022-11-24
Assimilated eco-centric algorithm,169965.87,2022-04-03
Adaptive object-oriented website,843057.62,2022-04-09
Synchronised multimedia firmware,433625.87,2022-05-25
Reduced value-added hierarchy,680471.35,2022-06-23
Polarised client-server time-frame,533028.31,2022-02-26
Integrated demand-driven moderator,991853.0,2022-01-02
Balanced 5th generation core,246051.58,2022-04-16
Profit-focused empowering conglomeration,842592.34,2021-12-16
Profit-focused dynamic superstructure,518307.59,2022-01-20
Fully-configurable zero defect parallelism,939893.84,2022-05-30
Ameliorated tangible functionalities,732589.29,2022-06-03
Realigned fault-tolerant algorithm,327825.2,2022-07-04
Mandatory client-driven benchmark,221387.65,2022-11-22
Optimized upward-trending info-mediaries,456407.8,2022-01-16
Face to face homogeneous time-frame,179009.92,2022-07-04
Digitized real-time intranet,129284.06,2022-10-01
Face to face transitional project,412254.69,2021-12-22
Vision-oriented zero administration help-desk,994774.21,2022-01-20
Persevering high-level functionalities,80317.55,2022-04-14
Organized impactful middleware,36297.16,2022-01-17
Future-proofed local standardization,328313.69,2022-12-10
Proactive attitude-oriented function,140021.35,2022-08-05
Universal asynchronous attitude,311278.51,2021-12-28
Ameliorated neutral hardware,365543.05,2022-11-06
Upgradable contextually-based open system,339244.76,2022-04-05
Customizable intermediate help-desk,258970.7,2022-10-05
Centralized transitional implementation,516295.28,2022-09-19
Synergized discrete policy,543055.91,2022-07-19
Horizontal bandwidth-monitored challenge,771347.29,2022-08-15
Reverse-engineered real-time Graphic Interface,812244.69,2022-12-21
Optional static encoding,237243.53,2022-10-29
Realigned tertiary solution,900140.53,2023-01-16
Reduced bandwidth-monitored website,149163.92,2021-12-31
Multi-layered systematic infrastructure,81053.1,2022-12-24
Function-based local analyzer,186010.02,2022-10-20
Open-architected human-resource moderator,2761.85,2022-01-26
Digitized national internet solution,183990.48,2021-12-22
Reactive disintermediate orchestration,689448.76,2021-12-29
Digitized mission-critical Graphical User Interface,986637.08,2022-09-25
Synergistic zero tolerance hub,570001.76,2022-12-14
Extended clear-thinking protocol,665678.85,2022-11-07
Stand-alone holistic core,612214.03,2022-02-20
Centralized multi-tasking instruction set,54898.45,2021-12-12
Profit-focused clear-thinking groupware,527121.79,2022-11-27
Upgradable maximized superstructure,321233.92,2021-12-24
Versatile asynchronous framework,341343.0,2022-11-04
Streamlined transitional complexity,765778.92,2022-02-10
Devolved neutral encoding,272117.35,2022-03-09
Centralized upward-trending customer loyalty,181103.79,2022-01-13
Object-based client-driven paradigm,526551.59,2022-07-18
Integrated grid-enabled approach,582707.89,2022-11-15
Up-sized human-resource capacity,778475.91,2022-08-22
Phased bandwidth-monitored core,236932.26,2021-12-18
Multi-tiered well-modulated knowledge user,983977.89,2022-09-19
Realigned multi-state superstructure,34979.86,2023-01-10
Automated real-time pricing structure,232832.89,2021-12-28
Ameliorated systemic analyzer,405236.95,2022-10-22
Ameliorated secondary structure,977339.24,2022-12-22
Sharable heuristic frame,512543.82,2022-12-09
Customer-focused foreground policy,670714.71,2022-11-14
Cross-group background installation,311586.2,2022-07-21
